2025-07-14 18:07:16,516 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2025-07-14 18:07:16,593 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2025-07-14 18:07:16,595 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2025-07-14 18:07:16,596 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2025-07-14 18:07:16,608 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2025-07-14 18:07:16,609 INFO  SwAddin.cs: 197 - Setting up callbacks
2025-07-14 18:07:16,613 INFO  SwAddin.cs: 201 - Setting up command manager
2025-07-14 18:07:16,614 INFO  SwAddin.cs: 204 - Adding command manager
2025-07-14 18:07:16,628 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2025-07-14 18:07:16,629 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2025-07-14 18:07:16,630 INFO  SwAddin.cs: 210 - Adding event handlers
2025-07-14 18:07:17,038 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2025-07-14 18:07:58,055 INFO  SwAddin.cs: 294 - Assembly export called for file ??? v1.SLDASM
2025-07-14 18:07:58,058 INFO  SwAddin.cs: 299 - Save is required
2025-07-14 18:07:58,059 INFO  SwAddin.cs: 313 - Saving assembly
2025-07-14 18:07:59,705 INFO  SwAddin.cs: 316 - Opening property manager
2025-07-14 18:07:59,758 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ??? v1.SLDASM
2025-07-14 18:07:59,894 INFO  ExportHelperExtension.cs: 1136 - Found 28 in ??? v1.SLDASM
2025-07-14 18:07:59,896 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in ??? v1.SLDASM
2025-07-14 18:07:59,898 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2025-07-14 18:07:59,905 INFO  ExportHelperExtension.cs: 1160 - 6 components to check
2025-07-14 18:07:59,909 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 3.7V???-1
